"FilingId","FilerEIN","TaxYr","Amended","FilerName1","FilerName2","PdBeginDt","PdEndDt","Org501c3","Org501cInd","Org501cType","Org4947a1","Org527Ind","FormYr","PersonNm","TitleTxt","AvgHrs","AvgHrsRltd","TrustOrDir","Officer","KeyEmpl","HighComp","FmrOfficer","RptCmpOrg","RptCmpRltd","OtherComp"
685779,593315988,2011,0,"The Mattie Kelly Arts Foundation",NA,"2011-01-01","2011-12-31",1,0,NA,0,0,1995,"Dave Rauch","Chairman",0.5,NA,1,1,0,0,0,0,0,0
685779,593315988,2011,0,"The Mattie Kelly Arts Foundation",NA,"2011-01-01","2011-12-31",1,0,NA,0,0,1995,"Glen Cooper","Vice Chairman",0.5,NA,1,1,0,0,0,0,0,0
685779,593315988,2011,0,"The Mattie Kelly Arts Foundation",NA,"2011-01-01","2011-12-31",1,0,NA,0,0,1995,"Beverly Wilson","Treasurer",0.5,NA,1,1,0,0,0,0,0,0
685779,593315988,2011,0,"The Mattie Kelly Arts Foundation",NA,"2011-01-01","2011-12-31",1,0,NA,0,0,1995,"Jennifer Lovell","Secretary",0.5,NA,1,1,0,0,0,0,0,0
685779,593315988,2011,0,"The Mattie Kelly Arts Foundation",NA,"2011-01-01","2011-12-31",1,0,NA,0,0,1995,"Stacy Barrett","Director",0.5,NA,1,0,0,0,0,0,0,0
685779,593315988,2011,0,"The Mattie Kelly Arts Foundation",NA,"2011-01-01","2011-12-31",1,0,NA,0,0,1995,"Lynn Dugas","Director",0.5,NA,1,0,0,0,0,0,0,0
685779,593315988,2011,0,"The Mattie Kelly Arts Foundation",NA,"2011-01-01","2011-12-31",1,0,NA,0,0,1995,"Betty Hefner","Director",0.5,NA,1,0,0,0,0,0,0,0
685779,593315988,2011,0,"The Mattie Kelly Arts Foundation",NA,"2011-01-01","2011-12-31",1,0,NA,0,0,1995,"Linda Jones","Director",0.5,NA,1,0,0,0,0,0,0,0
685779,593315988,2011,0,"The Mattie Kelly Arts Foundation",NA,"2011-01-01","2011-12-31",1,0,NA,0,0,1995,"Laurie Kelly","Director",0.5,NA,1,0,0,0,0,0,0,0
685779,593315988,2011,0,"The Mattie Kelly Arts Foundation",NA,"2011-01-01","2011-12-31",1,0,NA,0,0,1995,"Marilyn MacCollum","Director",0.5,NA,1,0,0,0,0,0,0,0
